"SITEID_12","zpSR","zpDen","zpDiv.Sh","Omni","W.Omni","zpSRr","phySR","phyDiv.Sh","phyDen.Ind","phyDen.BioV","phySRr","SITEID_07","LAT_DD","LON_DD","LakeArea","LakeDepth","LakePerim","LakeEleva","HUC2","HUC8","ECO3","ECO3_2015","EPA_REG","Cond","DOC","NTL","PTL","Silica","pH","Temp","Sol","ln_phyDen","ln_phySR","ln_phySRr","ln_zpDen","ln_zpSR","ln_zpSRr","ln_NTL","ln_PTL","Lat","ln_DOC","ln_Silica","ln_Temp","ln_Sol","ln_Cond","WOmni","WOmni2","Omni2"
"NLA12_AZ-118",13,24000,0,0.153846153846154,0.237179487179487,8.17697591929453,10,1.47785092750233,879818.7,834379811.9,10,"",33.38131121,-111.883581,8.007210087,2.4,2.713057747,365.97,15,15060106,81,81,"Region_9",1096,3420,483,38,19485,8.2,24.8,7.04333333333333,20.5421992666074,2.30258509299405,2.30258509299405,10.0858091093301,2.56494935746154,2.10132239024393,6.18001665365257,3.63758615972639,33.38131121,8.13739583005665,9.87740021777281,3.21084365317094,1.95208154295986,6.99942246750796,0.237179487179487,0.0562541091387245,0.0236686390532544
"NLA12_AZ-123",13,16222.2222222222,0,0.153846153846154,0.246575342465753,8.93974316499817,15,1.1908906123619,865450640.6,51245507417.7,15,"",33.0266436,-114.5090632,18.87422654,1.8,3.259236986,57.69,15,15030104,81,81,"Region_9",2570,34490,4094,392,45341,8.09,30.3705128205128,7.02679738562091,24.6598937909801,2.70805020110221,2.70805020110221,9.69413732335425,2.56494935746154,2.19050686002534,8.31727776622123,5.97126183979046,33.0266436,10.4484247059309,10.7219669793984,3.41347216467449,1.94973103809875,7.85166117788927,0.246575342465753,0.0607993995121036,0.0236686390532544
"NLA12_AZ-127",14,154857.142857143,0,0.285714285714286,0.351476014760148,9.0464921614555,23,2.07311625250162,2148560.9,3298207990.4,23,"",35.28501346,-112.1541634,24.76589448,4.3,3.780921415,2072.07,15,15010004,23,23,"Region_9",118.3,6030,554,147,5556,7.88,15.2230769230769,6.7102614379085,21.9166451247108,3.13549421592915,3.13549421592915,11.9502583119264,2.63905732961526,2.20237707610402,6.31716468674728,4.99043258677874,35.28501346,8.70450228972123,8.62263370387423,2.72281249514698,1.90363791265505,4.77322377098434,0.351476014760148,0.123535388951675,0.0816326530612245
"NLA12_AZ-130",24,20603.1746031746,0,0.291666666666667,0.394453004622496,15.5859055734529,54,3.40068142471461,78454985.6,3936133129.4,54,"NLA06608-4627",33.84530018,-111.6185016,622.6993198,16.95,48.18706487,533.25,15,15060203,81,81,"Region_9",581.5,2585,298.5,62,29352,8.495,21.3034823284823,7.04333333333333,22.0934646390908,3.98898404656427,3.98898404656427,9.93320044985464,3.17805383034795,2.74636701698219,5.69876993283266,4.12713438504509,33.84530018,7.85748078694253,10.2871159660351,3.05887054895252,1.95208154295986,6.36561097195872,0.394453004622496,0.155593172855715,0.0850694444444445
"NLA12_AZ-140",19,501000,0,0.421052631578947,0.101131071190951,12.1426558268885,42,0.512331209337819,443085417.4,15460082848.5,42,"",32.8056793,-109.8626777,5.897283111,4.1,1.093999706,1006.44,15,15040005,79,79,"Region_9",201,5310,571,38,7886,8.32,26.3115384615385,6.92941176470588,23.4615272389852,3.73766961828337,3.73766961828337,13.124361380067,2.94443897916644,2.49672452833544,6.34738920965601,3.63758615972639,32.8056793,8.57734711423598,8.97284431443757,3.27000756774547,1.93577492716127,5.30330490805908,0.101131071190951,0.0102274935602293,0.177285318559557
"NLA12_AZ-143",12,246750,0,0.166666666666667,0.0709219858156028,10.0169412262125,23,1.89646365477588,76504500.8,8873514071.5,23,"",35.11670652,-112.0134231,16.72327332,4,2.795297277,1997.64,15,15060202,23,23,"Region_9",76,11760,1201,75,6488,8.85,21.0025641025641,6.7102614379085,22.9063367297268,3.13549421592915,3.13549421592915,12.4161309572957,2.484906649788,2.30427778220825,7.09090982207998,4.31748811353631,35.11670652,9.37245922145262,8.77770959579525,3.04464453039191,1.90363791265505,4.33073334028633,0.0709219858156028,0.00502992807202857,0.0277777777777778
"NLA12_AZ-145",16,18125,0,0.3125,0.531034482758621,12.6533252726378,18,2.4824195385176,22380784.5,4329043437.8,18,"NLA06608-4744",33.8293043,-109.090421,48.4485317,3,5.384258583,2403.42,15,15040004,23,23,"Region_9",275,14020,1775,244,11535,9.51,20.0576923076923,6.62928104575163,22.1886124394977,2.89037175789616,2.89037175789616,9.80504747972287,2.77258872223978,2.53792004803215,7.48155570190952,5.4971682252932,33.8293043,9.54824016058858,9.35314117060785,2.99861273641934,1.89149635876297,5.61677109766657,0.531034482758621,0.281997621878716,0.09765625
"NLA12_AZ-157",11,209000,0,0.0909090909090909,0.0296650717703349,9.8277766325783,10,0.974464208011481,400752770.7,137908038573.3,10,"",34.03125525,-109.4431103,17.28230542,1.6,1.614787909,2519.09,15,15020001,23,23,"Region_9",82.5,6410,3888,882,22958,9.44,19.7294871794872,6.82124183006536,25.649852912819,2.30258509299405,2.30258509299405,12.2500895309469,2.39789527279837,2.28521272674277,8.26565016558033,6.78219205600679,34.03125525,8.76561454991472,10.0414217386254,2.98211432778022,1.92004154179948,4.41279829334063,0.0296650717703349,0.000880016483139122,0.00826446280991736
"NLA12_AZ-R01",21,153571.428571429,0,0.380952380952381,0.407441860465116,16.2447230987226,20,1.87735781191776,15856367.3,29340066174.1,20,"NLA06608-2217",34.42742317,-111.0867324,24.13835303,9.7,5.230721276,2220,15,15020008,23,23,"Region_9",19.54,4510,253,11,1161,7.03,18.2358974358974,6.71222222222222,24.1022198650813,2.99573227355399,2.99573227355399,11.9419210704886,3.04452243772342,2.78776812365246,5.53338948872752,2.39789527279837,34.42742317,8.41405243249672,7.05703698169789,2.90339203807005,1.90393007681443,2.97246364661464,0.407441860465116,0.166008869659275,0.145124716553288
"NLA12_CA-101",42,55699.2481203007,0,0.619047619047619,0.168736501079914,33.3715666736132,27,2.37124656588239,208262468.5,20625491564.1,27,"NLA06608-1781",38.07832575,-122.7433592,335.3416647,10.6,32.51425567,51.12,18,18050005,6,6,"Region_9",212.5,6615,473.5,30.65,1065,7.75,19.4875,7.08320261437909,23.7497936022941,3.29583686600433,3.29583686600433,10.9277219270864,3.73766961828337,3.50770424022621,6.16015191262613,3.42263266238222,38.07832575,8.79709507654906,6.97073007814353,2.96977323438389,1.95772615209143,5.35894198836447,0.168736501079914,0.0284720067966917,0.383219954648526
"NLA12_CA-102",29,358703.703703704,0,0.517241379310345,0.165720185854414,20.4258841302469,11,1.39005089101957,112481682.2,10917008193.5,11,"NLA06608-1397",33.23504244,-116.7444419,731.021414,2.2,20.2000769,818.28,18,18070303,8,8,"Region_9",690,8830,1390,23.9,49500,8.64,24.1125,7.14228758169935,23.113587794771,2.39789527279837,2.39789527279837,12.7902519888189,3.36729582998647,3.01680292647982,7.23705902612474,3.17387845893747,33.23504244,9.08591029359801,10.8097279485568,3.18273037823185,1.96603311463145,6.5366915975913,0.165720185854414,0.0274631799996215,0.267538644470868
"NLA12_CA-103",21,6201.21951219512,0,0.380952380952381,0.256637168141593,18.0120290568617,26,1.2982948636964,1088566.4,43619987.7,26,"NLA06608-0201",39.11326334,-120.4389061,574.7253533,19.8,14.56207055,1592.46,18,18020128,5,5,"Region_9",27,1620,322,4.1,12900,7.5,17.7475,7.12692810457516,17.591026036757,3.25809653802148,3.25809653802148,8.7325012472065,3.04452243772342,2.89103981563266,5.77455154554441,1.41098697371026,39.11326334,7.39018142822643,9.46498259034976,2.8762446609314,1.96388030071456,3.29583686600433,0.256637168141593,0.0658626360717362,0.145124716553288
"NLA12_CA-104",31,16931.8181818182,0,0.451612903225806,0.257046979865772,22.7954805702449,25,0.713155346497374,104703186.4,928642084.5,25,"NLA06608-0181",37.78873902,-119.0738863,118.8169149,29.9,4.627384423,2323.16,18,18090101,5,5,"Region_9",292,6820,435,4.9,483,7.76,15.296,7.2462091503268,20.6492339528979,3.2188758248682,3.2188758248682,9.73694986344344,3.43398720448515,3.1265622957088,6.07534603108868,1.58923520511658,37.78873902,8.82761475083751,6.18001665365257,2.72759135630905,1.98047845630236,5.67675380226828,0.257046979865772,0.0660731498581145,0.203954214360042
"NLA12_CA-105",27,14386.3636363636,0,0.518518518518518,0.232227488151659,20.4330492815897,22,2.13714111069797,118733314.9,7434357012.4,22,"NLA06608-1269",38.50847142,-121.5353649,21.36925395,4.3,3.719279733,3.21,18,18020109,7,7,"Region_9",772,4390,551,688,18100,9.02,23.975,7.25954248366013,22.7293779319352,3.09104245335832,3.09104245335832,9.57403606720805,3.29583686600433,3.01715365278704,6.31173480915291,6.53378883793334,38.50847142,8.38708450606922,9.80366721725392,3.1770116207695,1.98231680807134,6.64898455002478,0.232227488151659,0.0539296062532288,0.268861454046639
"NLA12_CA-106",11,44386.5030674847,0,0.636363636363636,0.780234968901175,6.71151468625916,23,2.12071597585231,1937178625.3,58303587150.2,23,"NLA06608-0173",33.07900474,-115.512784,62.78533719,2.7,3.204951638,-53.27,18,18100200,81,81,"Region_9",2632,28100,3830,591,8480,9.49,25.2625,7.1037908496732,24.788929457573,3.13549421592915,3.13549421592915,10.700690717241,2.39789527279837,1.90382466116623,8.25062008217469,6.3818160174061,33.07900474,10.2435248553218,9.04546572878595,3.22932108272974,1.96062856405056,7.87549929244521,0.780234968901175,0.608766606696217,0.40495867768595
"NLA12_CA-107",25,17438.3561643836,0,0.4,0.481539670070699,17.0955399004734,28,1.05688910001244,23970519.2,1959680389.8,28,"NLA06608-0649",38.47629345,-119.9996916,70.01844691,8.3,5.032435184,2227.25,18,18040010,5,5,"Region_9",30,3070,149,10.2,935000,7.75,18.5375,7.27267973856209,21.3960472304635,3.3322045101752,3.3322045101752,9.76642743639115,3.2188758248682,2.83881760495426,5.00394630594546,2.32238772029023,38.47629345,8.02943284058124,13.7483018082708,2.91979570746405,1.98412482590644,3.40119738166216,0.481539670070699,0.231880453851798,0.16
"NLA12_CA-108",28,4769.66292134831,0,0.321428571428571,0.570082449941107,20.6852951637944,23,2.24040711322506,745868,265805323.7,23,"NLA06608-0693",37.14922318,-119.5111573,69.77191048,14,9.869399505,300.34,18,18040006,6,6,"Region_9",29,1490,156,4.8,7480,6.35,18.6178571428571,7.2462091503268,19.398274733012,3.13549421592915,3.13549421592915,8.4700309150014,3.3322045101752,3.02942306927226,5.04985600724954,1.56861591791385,37.14922318,7.30653139893951,8.91998807096852,2.92412118159885,1.98047845630236,3.36729582998647,0.570082449941107,0.324993999730855,0.103316326530612
"NLA12_CA-111",15,26534.8837209302,0,0.266666666666667,0.180543382997371,11.0085351359847,42,2.77489829039937,5427227.3,2541778594.2,42,"",39.013583,-121.0410833,146.5493939,5.25,14.4411696,488.8,18,18020126,6,6,"Region_9",50,1640,74.1,5.65,8715,7.325,23.865,7.18241830065359,21.6561299068645,3.73766961828337,3.73766961828337,10.1862155131506,2.70805020110221,2.3986708933801,4.30541553230204,1.73165554515835,39.013583,7.40245152081824,9.07280095795412,3.17241295045786,1.97163613702814,3.91202300542815,0.180543382997371,0.0325959131441353,0.0711111111111111
"NLA12_CA-112",18,1313000,0,0.222222222222222,0.0205635948210206,12.3409906562806,23,2.30070125560216,1109891.2,888684348.2,23,"",39.37366934,-121.2786137,21.60541441,6.3,3.383860377,425.25,18,18020125,6,6,"Region_9",124,1840,167,7.5,20200,8.03,25.75,7.18241830065359,20.6052526665361,3.13549421592915,3.13549421592915,14.0878251532849,2.89037175789616,2.51292629534254,5.11799381241676,2.01490302054226,39.37366934,7.51752085060303,9.9134378833893,3.24843462710975,1.97163613702814,4.82028156560504,0.0205635948210206,0.000422861431963104,0.0493827160493827
"NLA12_CA-116",17,15038.4615384615,0,0.235294117647059,0.0971867007672634,15.2665321689604,18,2.23517629422747,5508219.7,1030058804.7,18,"",41.22806098,-122.3816476,19.58614266,34.5,1.855488603,1658,18,18020005,78,78,"Region_9",40,1590,62.6,62.6,3920,7.7,6.70555555555556,6.89986928104575,20.7528817295,2.89037175789616,2.89037175789616,9.61836630094602,2.83321334405622,2.7256629925198,4.13676527810605,4.13676527810605,41.22806098,7.37148929521428,8.27384693278451,1.90293637020732,1.93150246664778,3.68887945411394,0.0971867007672634,0.0094452548060256,0.055363321799308
"NLA12_CA-119",18,78909.0909090909,0,0.222222222222222,0.0506912442396313,14.9517921063344,15,2.09679589660175,3222915.6,757410458,15,"",37.95383641,-120.4968436,4470.73541,33,205.1316367,332.34,18,18040010,6,6,"Region_9",58,1920,114,4.1,10200,6.67,17.9592592592593,7.34993464052288,20.4454158811,2.70805020110221,2.70805020110221,11.2760517208441,2.89037175789616,2.70483116598587,4.7361984483945,1.41098697371026,37.95383641,7.56008046502183,9.23014299927236,2.88810581810698,1.99469142073934,4.06044301054642,0.0506912442396313,0.00256960224256196,0.0493827160493827
"NLA12_CA-121",25,288000,0,0.24,0.188492063492063,20.1476998118075,13,1.31108351152854,83871059.4,2146602459.3,13,"",36.08284307,-118.9092314,1005.9283,14.3,42.22641737,199.55,18,18030006,6,6,"Region_9",200,4200,334,12.3,21400,8.07,20.1366666666667,7.14745098039216,21.4871521776833,2.56494935746154,2.56494935746154,12.5707157591181,3.2188758248682,3.00309012861654,5.8111409929767,2.50959926237837,36.08284307,8.34283980427146,9.97114620100994,3.00254236548254,1.9667557869036,5.29831736654804,0.188492063492063,0.0355292579994961,0.0576
"NLA12_CA-123",20,32535.7142857143,0,0.3,0.321624588364435,14.2479118970773,19,1.85662936025621,4572281.1,2377413308.9,19,"",38.76397086,-119.9656214,10.42702163,5.7,1.381916533,2445.3,16,16050201,5,5,"Region_9",27,2840,145,9.7,4250,6.4,19.4833333333333,7.27267973856209,21.5892788885855,2.94443897916644,2.94443897916644,10.3900936660669,2.99573227355399,2.65661036243914,4.97673374242057,2.27212588550934,38.76397086,7.95155933115525,8.35467426191846,2.96955939924997,1.98412482590644,3.29583686600433,0.321624588364435,0.103442375840592,0.09
